predictor	predictor_type	name	fold	diff_empty	diff_medium_surprisal	diff_full_surprisal
1	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	1	0.0345118363130377	0.0178669164394591	-0.00161138549602402
2	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	2	0.0418371939081528	0.0157588626799656	-0.00282903153296488
3	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	3	0.0336091073298093	0.017366704258392	-0.00341538368748573
4	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	4	0.0449383024648977	0.020612702225848	-0.00354977915495436
5	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	5	0.0415521427164691	0.025159682860056	0.0021728726904966
6	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	6	0.0389235436265025	0.020174220730202	-0.00276780590465542
7	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	7	0.0352127635237096	0.0188376453326748	2.03979093615914e-06
8	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	8	0.0262000713438271	0.00522037281530263	-0.00390982805608875
9	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	9	0.0314458315041692	0.0157292401237106	-0.00133802034346697
10	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	10	0.0333481213098894	0.00485575350332024	-0.00262663337945845
11	surprisal + prev_surprisal + prev3_surprisal	-3	prev2_surprisal	1	0.0307176987933504	0.0140727789197719	-0.00540552301571129
12	surprisal + prev_surprisal + prev3_surprisal	-3	prev2_surprisal	2	0.0394724102932802	0.013394079065093	-0.00519381514783746
13	surprisal + prev_surprisal + prev3_surprisal	-3	prev2_surprisal	3	0.0336352440898819	0.0173928410184647	-0.00338924692741305
14	surprisal + prev_surprisal + prev3_surprisal	-3	prev2_surprisal	4	0.0495987969770457	0.025273196737996	0.00111071535719365
15	surprisal + prev_surprisal + prev3_surprisal	-3	prev2_surprisal	5	0.0316110483430307	0.0152185884866176	-0.00776822168294178
16	surprisal + prev_surprisal + prev3_surprisal	-3	prev2_surprisal	6	0.0391529679139344	0.0204036450176339	-0.00253838161722353
17	surprisal + prev_surprisal + prev3_surprisal	-3	prev2_surprisal	7	0.031649605397627	0.0152744872065922	-0.0035611183351465
18	surprisal + prev_surprisal + prev3_surprisal	-3	prev2_surprisal	8	0.0261931146385148	0.00521341610999038	-0.003916784761401
19	surprisal + prev_surprisal + prev3_surprisal	-3	prev2_surprisal	9	0.0270439663271205	0.0113273749466618	-0.00573988552051574
20	surprisal + prev_surprisal + prev3_surprisal	-3	prev2_surprisal	10	0.0280155045129895	-0.000476863293579655	-0.00795925017635835
21	surprisal + prev2_surprisal + prev3_surprisal	-3	prev_surprisal	1	0.0280228183643141	0.0113778984907356	-0.00810040344474761
22	surprisal + prev2_surprisal + prev3_surprisal	-3	prev_surprisal	2	0.0300303337335999	0.00395200250541272	-0.0146358917075178
23	surprisal + prev2_surprisal + prev3_surprisal	-3	prev_surprisal	3	0.0299414078428786	0.0136990047714614	-0.00708308317441642
24	surprisal + prev2_surprisal + prev3_surprisal	-3	prev_surprisal	4	0.0282777871600279	0.00395218692097821	-0.0202102944598241
25	surprisal + prev2_surprisal + prev3_surprisal	-3	prev_surprisal	5	0.0298844476633109	0.0134919878068978	-0.00949482236266164
26	surprisal + prev2_surprisal + prev3_surprisal	-3	prev_surprisal	6	0.0332155440545439	0.0144662211582434	-0.00847580547661408
27	surprisal + prev2_surprisal + prev3_surprisal	-3	prev_surprisal	7	0.0223166571298226	0.00594153893878779	-0.0128940666029509
28	surprisal + prev2_surprisal + prev3_surprisal	-3	prev_surprisal	8	0.0179764590942142	-0.00300323943431025	-0.0121334403057016
29	surprisal + prev2_surprisal + prev3_surprisal	-3	prev_surprisal	9	0.0282724980056015	0.0125559066251428	-0.00451135384203472
30	surprisal + prev2_surprisal + prev3_surprisal	-3	prev_surprisal	10	0.0231931123618851	-0.00529925544468401	-0.0127816423274627
31	prev_surprisal + prev2_surprisal + prev3_surprisal	-3	surprisal	1	0.0166936464193546	4.87265457760344e-05	-0.0194295753897071
32	prev_surprisal + prev2_surprisal + prev3_surprisal	-3	surprisal	2	0.0263173785124788	0.000239047284291694	-0.0183488469286388
33	prev_surprisal + prev2_surprisal + prev3_surprisal	-3	surprisal	3	0.0165183772152435	0.000275974143826296	-0.0205061138020515
