predictor	predictor_type	name	fold	diff_empty	diff_medium_surprisal	diff_full_surprisal
1	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	1	0.0328069297981175	0.0139920760216858	-0.00267631085157927
2	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	2	0.0406866835069382	0.0129450154987829	-0.00313391166724042
3	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	3	0.0317191004238113	0.0167756915249644	-0.00306253513867905
4	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	4	0.0383933030644954	0.0180370379089911	-0.00306643318625976
5	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	5	0.0363714772759236	0.0242492943256511	0.00220646175002326
6	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	6	0.031669739075622	0.0149674331576568	-0.00163049160463746
7	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	7	0.0240510728070271	0.0123344826175273	-0.000503061229829349
8	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	8	0.0246634966053421	0.00709936492706476	-0.00460215995403246
9	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	9	0.0206622278151558	0.00948089894131687	-0.00123143705085926
10	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	10	0.0188128712679285	0.00211096255712562	-0.00246295056419132
11	surprisal + prev_surprisal + prev3_surprisal	-3	prev2_surprisal	1	0.0318904462479077	0.013075592471476	-0.00359279440178906
12	surprisal + prev_surprisal + prev3_surprisal	-3	prev2_surprisal	2	0.0384688611347732	0.010727193126618	-0.00535173403940536
13	surprisal + prev_surprisal + prev3_surprisal	-3	prev2_surprisal	3	0.0310444288061564	0.0161010199073095	-0.00373720675633393
14	surprisal + prev_surprisal + prev3_surprisal	-3	prev2_surprisal	4	0.0410886400569117	0.0207323749014074	-0.000371096193843456
15	surprisal + prev_surprisal + prev3_surprisal	-3	prev2_surprisal	5	0.0277071424951627	0.0155849595448903	-0.00645787303073764
16	surprisal + prev_surprisal + prev3_surprisal	-3	prev2_surprisal	6	0.0325812231437554	0.0158789172257903	-0.000719007536504002
