predictor	predictor_type	name	fold	diff_empty	diff_medium_surprisal	diff_full_surprisal
1	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	1	0.0456301588809698	0.0279861104720354	-0.00167781167197667
2	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	2	0.0450809395719878	0.0207295982953548	-0.00143427062461665
3	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	3	0.0369538989893465	0.0171844585606902	-0.00270961717187035
4	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	4	0.0522689356046966	0.0265253076303802	-0.00345836065611493
5	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	5	0.0455872724163564	0.0247148862141309	0.000920811656734521
6	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	6	0.0393740603531816	0.0219252244671484	-0.00356529679489714
7	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	7	0.0379460443004058	0.0217583911942549	0.000545943926169912
8	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	8	0.0301574707094083	0.00887598058129768	-0.0036268442186298
9	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	9	0.0351724444458084	0.0198471154544935	-0.000875622076678795
10	surprisal + prev_surprisal + prev2_surprisal	-3	prev3_surprisal	10	0.0343522052930947	0.00513242418793958	-0.00337928947802002
11	surprisal + prev_surprisal + prev3_surprisal	-3	prev2_surprisal	1	0.0402359592185002	0.0225919108095658	-0.00707201133444624
12	surprisal + prev_surprisal + prev3_surprisal	-3	prev2_surprisal	2	0.0428749895082392	0.0185236482316062	-0.00364022068836523
13	surprisal + prev_surprisal + prev3_surprisal	-3	prev2_surprisal	3	0.0337883452510335	0.0140189048223771	-0.00587517091018341
14	surprisal + prev_surprisal + prev3_surprisal	-3	prev2_surprisal	4	0.0558304603935342	0.0300868324192178	0.000103164132722711
15	surprisal + prev_surprisal + prev3_surprisal	-3	prev2_surprisal	5	0.0358121891810663	0.0149398029788408	-0.00885427157855556
16	surprisal + prev_surprisal + prev3_surprisal	-3	prev2_surprisal	6	0.0407687547529703	0.0233199188669371	-0.00217060239510847
17	surprisal + prev_surprisal + prev3_surprisal	-3	prev2_surprisal	7	0.0323347557363887	0.0161471026302378	-0.00506534463784725
18	surprisal + prev_surprisal + prev3_surprisal	-3	prev2_surprisal	8	0.0294170239585032	0.00813553383039256	-0.00436729096953492
