	word	piantadosi	piantadosi_buggy	cch	cch_buggy	zipf	length	only_lowercase_letters
65219	a	1.6612219717262817	1.6700331575711653	2.65937425247398	2.6814720838404607	9.801344078867425	1	True
65231	aaradhya	9.902911223471165	9.895887	9.902911223471165	9.895887	0.0	8	True
65232	ab	5.353768352419138	5.39508985	5.546959741317952	5.513202886202562	0.6931471805599453	2	True
65234	abacus	2.45787679561181	2.0927234	2.45787679561181	2.0927234	0.0	6	True
65235	abandon	4.593985618742479	4.594704815384615	4.939116180755529	4.942436857482182	2.5649493574615367	7	True
65237	abandoned	4.963538516609753	4.907846397307693	5.944311865667451	5.917233109978569	3.9512437185814275	9	True
65241	abandoning	5.435016290080966	5.4540448	5.575343894927716	5.585078088680035	0.6931471805599453	10	True
65244	abandons	4.986907005877583	4.9953713	4.986907005877583	4.9953713	0.0	8	True
65245	abattoir	10.34311643059482	10.347789	10.34311643059482	10.347789	0.0	8	True
65247	abbot	6.4050905937328935	6.3438916	6.4050905937328935	6.3438916	0.0	5	True
65248	abbreviated	4.589906602440806	4.5903341535	9.170244159336008	9.171010777929887	0.6931471805599453	11	True
65249	abbreviation	5.870310539297255	5.833272443333333	9.449913115466089	9.377804356270747	1.0986122886681098	12	True
65250	abdicate	5.4571588820545	5.4332004	5.4571588820545	5.4332004	0.0	8	True
65251	abdicated	3.692303843444582	3.6553856000000002	4.997456318956504	4.899144549621928	1.0986122886681098	9	True
65252	abdication	7.132499112194637	6.5363035	7.135615180852104	6.61927860995018	0.6931471805599453	10	True
65255	abdomen	1.7883575500122137	1.6307018285714285	2.158239846596916	1.8952021183997882	1.9459101490553132	7	True
65260	abdomens	2.419451363180997	2.4174085	2.419451363180997	2.4174085	0.0	8	True
65261	abdominal	2.9413361335973605	2.9516832500000003	4.093254964630736	4.084788512105353	1.3862943611198906	9	True
65262	abduct	7.703760593140032	7.537309199999999	7.851440139996917	7.64508858711476	0.6931471805599453	6	True
65263	abducted	7.7968591338794795	7.7622002	7.865980197372061	7.830673516464208	1.0986122886681098	8	True
65264	abduction	2.8730077375657856	2.7004976000000003	4.434263886295083	4.221468969951379	0.6931471805599453	9	True
65265	abductor	2.653110940167348	2.4452594691428575	4.256889302731377	3.8287016875889788	1.9459101490553132	8	True
65266	abducts	6.959029980935156	6.9685593	6.959029980935156	6.968559300000001	0.0	7	True
65267	aberrant	5.767849236726761	5.733171	5.767849236726761	5.733171	0.0	8	True
65268	aberration	2.9503424167633057	2.1106358	2.9503424167633057	2.1106358	0.0	10	True
65269	aberrations	5.49026139290072	4.946870225	6.013432612742149	5.353955565746907	1.3862943611198906	11	True
65271	abhorred	7.02284031828458	7.022431	7.0228403182845796	7.022431	0.0	8	True
65272	abide	7.077109144670733	7.077838566666666	7.1659218537019616	7.166584601199427	1.0986122886681098	5	True
65273	abilities	4.33059933129698	4.01846113375	6.068506183735287	6.114842758650441	2.772588722239781	9	True
65277	ability	3.3644408010717703	3.339888495735294	4.827135245989879	4.814956707600685	4.219507705176107	7	True
65280	abiotic	1.3137180537451059	1.3099607999999998	1.9669547813362211	1.9610459503813626	0.6931471805599453	7	True
65281	able	2.321546960497077	2.319679656745665	4.151037220554629	4.182701037722816	5.153291594497779	4	True
65285	abnormal	7.49258966720663	7.440364666666667	7.539835404075076	7.493327375946089	1.0986122886681098	8	True
65286	abnormalities	5.7324757321941435	5.60172559	8.051959111104125	8.171138428409044	2.302585092994046	13	True
65288	abnormality	3.930671355687082	3.92226315	6.638723055895318	6.648746376018687	0.6931471805599453	11	True
65289	aboard	4.202675605741596	4.272818202142857	6.447245871953888	6.646250034723344	2.6390573296152584	6	True
65292	abode	2.031895791529678	1.2460328749999998	2.0724193042780112	2.1678245574756536	0.6931471805599453	5	True
65293	abolish	4.390571587042359	4.3903617	6.813123657685822	6.813772151280293	1.3862943611198906	7	True
65294	abolished	3.0702318758915434	3.0244109363636364	6.052557460056916	6.7542347797151585	2.3978952727983707	9	True
65298	abolishes	7.44909854591242	7.4573755	7.44909854591242	7.4573755	0.0	9	True
65299	abolishing	4.23302831655019	4.23531355	4.325718693658541	4.327910407550729	0.6931471805599453	10	True
65300	abolition	2.707523015830454	2.6231594636363638	3.5402434220505294	3.486440578105236	2.3978952727983707	9	True
65302	abolitionism	7.935746323317289	7.903097	7.935746323317289	7.903097	0.0	12	True
65303	abolitionist	6.069827466388233	6.02393255	9.113093413794013	9.121284187085807	1.3862943611198906	12	True
65305	aboriginal	11.20879606087692	11.17454775	12.779005766657482	12.698821330149054	0.6931471805599453	10	True
